iter	Passed	Remaining
0	0	880
1	1	755
2	2	706
3	2	679
4	3	660
5	3	648
6	4	640
7	5	634
8	6	661
9	6	653
10	7	655
11	7	652
12	8	650
13	9	646
14	9	643
15	10	639
16	10	635
17	11	630
18	12	625
19	12	622
20	13	620
21	13	617
22	14	614
23	15	613
24	15	610
25	16	610
26	16	609
27	17	607
28	18	604
29	18	602
30	19	601
31	19	600
32	20	599
33	21	597
34	21	596
35	22	595
36	22	595
37	23	595
38	24	595
39	24	594
40	25	592
41	25	591
42	26	591
43	27	589
44	27	588
45	28	587
46	28	586
47	29	588
48	30	587
49	30	586
50	31	586
51	32	585
52	32	583
53	33	582
54	33	582
55	34	580
56	35	579
57	35	578
58	36	577
59	36	576
60	37	576
61	38	576
62	38	575
63	39	574
64	39	574
65	40	573
66	41	576
67	41	575
68	42	574
69	43	573
70	43	572
71	44	571
72	44	570
73	45	570
74	46	569
75	46	570
76	47	570
77	48	569
78	48	568
79	49	567
80	49	566
81	50	565
82	50	561
83	51	561
84	52	561
85	52	560
86	53	559
87	53	559
88	54	559
89	55	558
90	55	557
91	56	556
92	56	555
93	57	554
94	58	553
95	58	552
96	59	552
97	59	551
98	60	550
99	61	549
100	61	548
101	62	547
102	62	547
103	63	546
104	63	544
105	64	543
106	65	543
107	65	542
108	66	541
109	66	540
110	67	538
111	67	537
112	68	536
113	68	534
114	69	534
115	69	533
116	70	531
117	70	530
118	71	529
119	71	527
120	72	528
121	73	526
122	73	526
123	74	525
124	74	524
125	75	523
126	75	521
127	76	520
128	76	518
129	77	517
130	77	516
131	78	515
132	78	513
133	79	512
134	79	511
135	80	510
136	80	509
137	81	508
138	81	507
139	82	506
140	82	505
141	83	502
142	83	501
143	84	500
144	84	499
145	85	498
146	85	497
147	86	495
148	86	494
149	87	494
150	87	493
151	88	492
152	88	491
153	89	490
154	89	489
155	90	488
156	90	487
157	91	486
158	91	485
159	92	484
160	92	482
161	93	481
162	93	481
163	94	480
164	94	479
165	95	479
166	95	478
167	96	477
168	96	476
169	97	475
170	97	474
171	98	473
172	98	472
173	99	472
174	100	471
175	100	470
176	101	469
177	101	468
178	102	468
179	102	467
180	103	466
181	103	465
182	104	464
183	104	463
184	105	463
185	105	462
186	106	461
187	106	460
188	107	459
189	107	459
190	108	458
191	108	458
192	109	457
193	109	457
194	110	456
195	111	455
196	111	454
197	111	453
198	112	452
199	113	454
200	114	454
201	114	453
202	115	452
203	115	451
204	116	451
205	116	450
206	117	449
207	117	448
208	118	447
209	118	446
210	119	446
211	119	445
212	120	444
213	120	443
214	121	442
215	121	442
216	122	441
217	122	440
218	123	439
219	123	439
220	124	438
221	124	437
222	125	436
223	125	436
224	126	435
225	126	434
226	127	434
227	128	434
228	128	433
229	129	433
230	129	432
231	130	432
232	131	431
233	131	430
234	132	429
235	132	428
236	132	428
237	133	427
238	133	426
239	134	425
240	134	424
241	135	424
242	135	423
243	136	422
244	136	422
245	137	421
246	138	420
247	138	420
248	139	419
249	139	419
250	140	418
251	140	417
252	141	417
253	141	417
254	142	416
255	143	415
256	143	414
257	144	414
258	144	414
259	145	413
260	145	412
261	146	412
262	146	411
263	147	410
264	147	409
265	148	408
266	148	408
267	149	407
268	149	406
269	150	405
270	150	405
271	151	404
272	151	404
273	152	403
274	152	402
275	153	402
276	153	401
277	154	400
278	154	400
279	155	399
280	155	398
281	156	398
282	156	397
283	157	396
284	157	395
285	158	395
286	158	394
287	159	394
288	159	393
289	160	393
290	161	392
291	161	391
292	162	391
293	162	390
294	163	389
295	163	389
296	164	388
297	164	387
298	165	387
299	165	386
300	166	386
301	166	385
302	167	384
303	167	384
304	168	383
305	168	382
306	169	382
307	169	381
308	170	380
309	170	380
310	171	379
311	171	378
312	172	377
313	172	377
314	173	377
315	173	376
316	174	375
317	174	375
318	175	374
319	175	373
320	176	373
321	176	372
322	177	371
323	177	371
324	178	370
325	178	370
326	179	369
327	180	369
328	180	368
329	181	368
330	181	367
331	182	366
332	182	366
333	183	365
334	183	364
335	184	364
336	184	363
337	185	362
338	185	362
339	186	361
340	186	360
341	187	360
342	187	359
343	188	359
344	188	358
345	189	357
346	189	357
347	190	356
348	190	355
349	191	355
350	191	354
351	192	353
352	192	353
353	193	352
354	193	352
355	194	351
356	195	351
357	195	350
358	196	350
359	196	349
360	197	348
361	197	348
362	198	347
363	198	346
364	199	346
365	199	345
366	200	345
367	200	344
368	201	344
369	201	343
370	202	342
371	202	342
372	203	341
373	203	341
374	204	340
375	204	339
376	205	339
377	205	338
378	206	337
379	206	337
380	207	336
381	207	336
382	208	335
383	209	335
384	209	334
385	210	334
386	210	333
387	211	332
388	211	332
389	212	331
390	212	331
391	213	330
392	213	329
393	214	329
394	214	328
395	214	327
396	215	327
397	216	326
398	216	326
399	217	325
400	217	325
401	218	324
402	218	323
403	219	323
404	219	322
405	220	322
406	220	321
407	221	320
408	221	320
409	222	319
410	222	319
411	223	318
412	223	318
413	224	317
414	224	317
415	225	316
416	225	315
417	226	315
418	226	314
419	227	314
420	227	313
421	228	312
422	228	312
423	229	311
424	229	310
425	230	310
426	230	309
427	231	309
